ID,Starve,Aphid,PRT,Censor
101P,18,pea,14.55,1
102P,15.91666667,pea,3.166666667,1
103P,18,pea,1.033333333,1
104P,15.41666667,bean,110.9833333,1
105P,18.83333333,bean,13.68333333,1
106P,23.83333333,pea,56.86666667,1
107P,23.75,bean,215.8333333,1
108P,4,pea,22.71666667,1
109P,19.66666667,bean,351.45,1
110P,4.666666667,bean,49.66666667,1
111P,18.75,pea,26.08333333,1
112P,18.83333333,pea,8.9,1
113P,19.75,bean,383.2666667,1
115P,14.91666667,pea,82.63333333,1
116P,14.08333333,bean,1.516666667,1
119P,8.166666667,pea,115.6166667,1
120P,8.416666667,pea,65.2,1
121P,2.25,pea,14.25,1
122P,2.166666667,pea,344.15,1
125P,3.25,pea,57.38333333,1
126P,4.333333333,pea,68.1,1
127P,23.98333333,bean,122.7,1
128P,23.58333333,bean,522.6666667,1
131P,4.5,pea,713.3666667,1
132P,6.25,pea,65.21666667,1
133P,11.83333333,bean,650.0666667,0
134P,2.916666667,bean,0.333333333,1
135P,13.41666667,bean,572.5,1
136P,11.91666667,pea,19.85,0
137P,12.91666667,pea,127.2166667,1
138P,2.833333333,bean,254.5833333,1
139P,4.75,pea,76.4,1
140P,4.916666667,pea,36.8,1
141P,6.833333333,bean,315.3166667,0
142P,13.41666667,pea,162,0
143P,6.333333333,bean,35.73333333,0
148P,6.083333333,pea,111.2166667,1
149P,6.333333333,pea,44.45,1
150P,7.416666667,pea,18.75,1
154P,3.083333333,bean,4.716666667,1
156P,2.333333333,bean,31.05,1
158P,8.083333333,pea,79.36666667,1
159P,8.166666667,bean,143.3833333,1
160P,12,bean,5.633333333,1
161P,7.5,bean,529.75,1
165P,10.16666667,bean,127.45,1
166P,7.583333333,bean,8.933333333,1
167P,10.25,bean,262.85,1
168P,9.75,pea,49.21666667,1
169P,10.66666667,pea,238.65,1
170P,20.83333333,bean,0.516666667,1
171P,4.916666667,bean,611.8666667,0
172P,10.83333333,pea,49.6,1
173P,12.41666667,pea,2.266666667,1
174P,4.833333333,bean,164.1,1
175P,20.08333333,pea,2.166666667,1
176P,13.16666667,bean,0.35,1
177P,12.25,pea,263.2166667,1
178P,10.08333333,pea,17.3,0
179P,9.833333333,pea,50.45,1
180P,9.916666667,pea,95.2,1
181P,9,bean,22.35,1
182P,10.75,pea,9.05,1
183P,12.25,bean,319.3333333,1
184P,11.41666667,bean,1.4,1
185P,4.833333333,bean,115.1666667,1
186P,4.916666667,bean,28.85,1
187P,9.666666667,bean,195.75,1
189P,20.08333333,bean,2.316666667,1
192P,5.166666667,pea,31.31666667,1
201P,5,pea,0.283333333,1
202P,18.08333333,pea,2.566666667,1
203P,4.833333333,pea,3.283333333,1
204P,18.16666667,pea,15.51666667,1
205P,7.083333333,pea,0.916666667,1
206P,16.33333333,bean,93.03333333,1
208P,7,pea,31.23333333,1
210P,16.41666667,bean,107.7666667,1
211P,5.5,pea,19.68333333,1
213P,4.583333333,bean,118.1833333,1
214P,5.666666667,pea,20.95,1
215P,8.416666667,bean,29.78333333,1
216P,6.5,bean,108.3166667,1
217P,8.583333333,bean,38.36666667,1
219P,14.66666667,pea,5.316666667,1
220P,15.66666667,pea,3.333333333,1
221P,6.333333333,bean,40.58333333,1
222P,8.333333333,bean,5.95,1
223P,12.83333333,bean,131.8333333,1
225P,2.666666667,bean,55.06666667,1
226P,14.33333333,bean,48.16666667,1
228P,2.5,bean,197.2,1
230P,2,bean,39.55,1
57P,18.41666667,bean,220.8833333,1
58P,18,pea,5.95,1
59P,16.83333333,pea,8.266666667,1
60P,16.58333333,bean,318.35,1
61P,21,pea,97.41666667,1
62P,23.33333333,bean,195.35,1
63P,20.91666667,pea,41.85,1
64P,22.75,pea,7.416666667,1
65P,23.16666667,pea,26.31666667,1
66P,22.25,pea,19.36666667,1
67P,23.75,bean,43.63333333,1
68P,20.08333333,pea,15.08333333,1
69P,20.25,pea,5.633333333,1
70P,16.5,bean,15.63333333,1
71P,16.16666667,bean,13,1
72P,16,pea,10.36666667,1
73P,19,pea,1.1,1
74P,17.58333333,bean,17.98333333,1
75P,19.25,bean,2.083333333,1
76P,17.66666667,pea,5.333333333,1
77P,18.33333333,pea,20.15,1
80P,19.33333333,pea,16.8,1
81P,20.75,bean,7.583333333,1
82P,20.83333333,bean,18.33333333,1
83P,19.75,pea,6.933333333,1
85P,17.08333333,pea,18.25,1
87P,16.91666667,bean,45.76666667,1
91P,14.41666667,bean,21.61666667,1
97P,16.41666667,bean,122.3833333,1
98P,16.33333333,bean,2.883333333,1
99P,17.66666667,pea,7.816666667,1
